"YEAR","STATEFIP","COUNTY","AGE","SEX","RACE","ASIAN","EMPSTAT","OCC2010","IND","EDUC","EDUC99","UHRSWORKLY","INCTOT","INCWAGE"
2015,25,0,37,1,651,70,10,6230,770,111,15,40,50000,0
2015,25,0,16,2,651,20,34,9999,0,40,6,999,0,0
2015,25,0,80,1,651,70,36,9999,0,123,16,999,114001,0
2015,25,0,57,2,651,10,10,4110,8680,73,10,40,19674,19000
2015,25,25009,44,1,651,50,12,3060,8190,125,18,40,250040,250000
2015,25,25009,44,2,651,50,34,9999,0,123,16,999,20,0
2015,25,25009,17,1,651,50,34,9999,0,50,7,999,0,0
2015,25,25009,14,2,651,50,0,9999,0,1,0,999,999999999,99999999
2015,25,25009,39,1,651,70,10,8030,2880,73,10,40,18364,18347
2015,25,25009,11,1,651,70,0,9999,0,1,0,999,999999999,99999999
2015,25,25009,4,1,651,70,0,9999,0,1,0,999,999999999,99999999
2015,25,25009,23,2,651,70,10,4760,5170,73,10,35,16801,16800
2015,25,25009,1,1,651,70,0,9999,0,1,0,999,999999999,99999999
2015,25,25009,45,2,651,70,34,9999,0,73,10,999,4808,0
2015,25,25009,35,2,651,10,10,4720,4970,111,15,20,23264,20100
2015,25,25009,10,2,651,10,0,9999,0,1,0,999,999999999,99999999
2015,25,25009,7,1,651,10,0,9999,0,1,0,999,999999999,99999999
2015,25,25009,44,1,651,70,10,8965,4470,81,11,50,28314,27000
2015,25,25009,43,2,651,70,10,1550,3190,73,10,40,10014,10000
2015,25,25009,19,1,651,70,10,5620,3390,73,10,999,0,0
2015,25,25009,17,1,651,70,34,9999,0,50,7,999,2,0
2015,25,25017,32,1,651,10,10,1020,7380,111,15,40,120000,120000
2015,25,25017,36,1,651,10,10,1020,7380,123,16,45,136110,135000
2015,25,25017,32,2,651,10,34,9999,0,123,16,999,0,0
2015,25,25017,5,1,651,10,0,9999,0,1,0,999,999999999,99999999
2015,25,25017,33,1,651,10,10,1020,2190,111,15,40,90671,90000
2015,25,25017,33,2,651,10,34,9999,0,111,15,999,1,0
2015,25,25017,2,2,651,10,0,9999,0,1,0,999,999999999,99999999
2015,25,25017,65,1,651,20,10,1320,3580,81,11,40,80225,80000
2015,25,25017,62,2,651,70,36,9999,0,10,4,999,0,0
2015,25,25017,26,1,651,10,10,1020,7380,123,16,45,114579,80000
2015,25,25017,28,1,651,10,10,1020,7380,123,16,45,70000,70000
2015,25,25017,32,1,651,20,10,5700,7380,123,16,40,30000,30000
2015,25,25017,30,2,651,50,10,1820,7870,125,18,40,35000,35000
2015,25,25017,42,2,651,50,10,3110,8190,123,16,45,167998,125000
2015,25,25017,67,1,651,40,10,2200,7870,125,18,40,140100,140000
2015,25,25017,65,2,651,40,10,2430,7870,111,15,25,40000,40000
2015,25,25017,30,1,651,70,10,1300,7490,111,15,47,62105,62000
2015,25,25017,47,2,651,30,10,5560,6370,111,15,40,57005,57000
2015,25,25017,14,1,651,30,0,9999,0,1,0,999,999999999,99999999
2015,25,25017,65,2,651,70,36,9999,0,73,10,999,36273,0
2015,25,25017,69,1,651,70,10,10,4170,123,16,40,167715,117000
2015,25,25017,30,1,651,70,10,4840,7580,111,15,45,126006,126000
2015,25,25017,33,2,651,20,10,2310,7860,123,16,40,10025,10000
2015,25,25017,26,1,651,50,10,800,7280,111,15,45,138853,135000
2015,25,25017,23,2,651,20,10,1020,7380,111,15,45,115001,115000
2015,25,25017,28,1,651,10,10,30,7380,123,16,40,91442,90000
2015,25,25017,27,1,651,10,10,1000,7380,123,16,45,24184,24000
2015,25,25017,43,2,651,50,10,4760,4795,111,15,40,91696,90000
2015,25,25017,4,1,651,30,0,9999,0,1,0,999,999999999,99999999
2015,25,25017,33,1,651,20,10,1020,7380,123,16,40,145000,140000
2015,25,25017,34,2,651,20,34,9999,0,123,16,999,0,0
2015,25,25017,7,1,651,20,0,9999,0,1,0,999,999999999,99999999
2015,25,25017,45,2,651,20,10,1020,7380,123,16,40,142165,130000
2015,25,25017,45,1,651,20,10,1350,2190,125,18,40,63308,60000
2015,25,25017,10,1,651,20,0,9999,0,1,0,999,999999999,99999999
2015,25,25017,9,1,651,20,0,9999,0,1,0,999,999999999,99999999
2015,25,25017,12,2,651,20,0,9999,0,1,0,999,999999999,99999999
2015,25,25017,18,1,651,20,34,9999,0,60,8,999,0,0
2015,25,25017,38,2,651,70,10,8740,3365,73,10,40,26000,26000
2015,25,25017,20,2,651,70,34,9999,0,60,8,999,11,0
2015,25,25017,17,2,651,70,34,9999,0,50,7,999,0,0
2015,25,25017,6,2,651,70,0,9999,0,1,0,999,999999999,99999999
2015,25,25017,3,2,651,70,0,9999,0,1,0,999,999999999,99999999
2015,25,25017,56,1,651,60,10,4700,4770,111,15,45,61010,41000
2015,25,25017,57,2,651,60,10,4760,4770,10,4,20,4005,4000
2015,25,25017,51,2,651,20,10,7720,3390,73,10,40,24000,24000
2015,25,25017,55,1,651,20,10,4110,8680,73,10,40,10000,10000
2015,25,25017,15,1,651,20,34,9999,0,40,6,999,0,0
2015,25,25017,17,2,651,20,34,9999,0,50,7,999,1212,0
2015,25,25017,30,1,651,60,10,730,7290,111,15,40,82100,82000
2015,25,25021,57,1,651,60,10,430,7580,73,10,45,80404,80000
2015,25,25021,43,2,651,60,10,4320,8990,73,10,60,90020,90000
2015,25,25021,26,1,651,60,10,120,6870,111,15,40,55740,55000
2015,25,25021,25,1,651,60,21,5700,7290,81,11,15,17259,10000
2015,25,25021,13,1,651,60,0,9999,0,1,0,999,999999999,99999999
2015,25,25021,38,1,651,10,10,1020,7380,123,16,40,40000,40000
2015,25,25021,35,2,651,10,34,9999,0,111,15,999,0,0
2015,25,25021,10,2,651,10,0,9999,0,1,0,999,999999999,99999999
2015,25,25021,7,2,651,10,0,9999,0,1,0,999,999999999,99999999
2015,25,25021,2,1,651,10,0,9999,0,1,0,999,999999999,99999999
2015,25,25021,29,1,651,10,10,1020,7890,123,16,40,140572,140000
2015,25,25021,27,2,651,10,21,2630,1480,111,15,999,14302,0
2015,25,25021,71,2,651,20,10,2040,9160,123,16,40,55027,55000
2015,25,25021,62,1,651,20,10,2630,7380,123,16,40,34000,34000
2015,25,25021,26,2,651,70,34,9999,0,92,14,999,0,0
