"YEAR","SAMPLE","CBSERIAL","STATEFIP","COUNTYFIP","CITY","SEX","AGE","RACE","RACED","RACASIAN","EDUC","EDUCD","EMPSTAT","EMPSTATD","OCC2010","IND","WKSWORK2","UHRSWORK","INCTOT","INCWAGE","INCBUS00","PWSTATE2","PWCOUNTY"
2015,201501,1036,25,0,0,1,30,6,610,2,11,114,1,10,4800,7470,6,40,77000,77000,0,25,0
2015,201501,3163,25,0,0,2,44,4,400,2,11,114,1,10,1020,7460,6,40,130000,130000,0,25,0
2015,201501,3163,25,0,0,1,42,4,400,2,11,116,1,10,2200,7870,6,60,125000,125000,0,25,0
2015,201501,3163,25,0,0,1,5,4,400,2,1,11,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,3163,25,0,0,2,4,4,400,2,0,2,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,4697,25,0,0,2,44,4,400,2,7,71,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,5503,25,25,810,1,20,6,676,2,6,63,3,30,5820,5580,0,0,0,0,0,0,0
2015,201501,6383,25,0,0,1,20,6,610,2,6,63,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,6622,25,0,0,1,70,4,400,2,10,101,3,30,350,8190,0,0,0,0,0,0,0
2015,201501,6622,25,0,0,2,68,4,400,2,10,101,3,30,800,7780,0,0,0,0,0,0,0
2015,201501,6915,25,0,3770,1,27,6,660,2,2,26,2,20,6260,770,0,0,2000,0,0,0,0
2015,201501,7787,25,0,930,1,27,4,400,2,10,101,1,10,1460,7460,6,40,83200,83000,0,25,0
2015,201501,7869,25,0,7570,1,28,6,640,2,7,71,1,10,1550,7870,6,1,1300,1300,0,25,0
2015,201501,7869,25,0,7570,2,23,6,640,2,7,71,3,30,5820,9590,0,0,0,0,0,0,0
2015,201501,7869,25,0,7570,2,22,6,640,2,7,71,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,7869,25,0,7570,2,21,6,640,2,7,71,3,30,3650,4970,1,20,5000,5000,0,0,0
2015,201501,7869,25,0,7570,2,21,6,640,2,6,63,1,10,4600,9290,6,60,15000,0,15000,25,0
2015,201501,7869,25,0,7570,2,15,6,640,2,3,30,0,0,9920,0,0,0,0,999999,0,0,0
2015,201501,8051,25,0,0,1,51,4,400,2,11,116,1,10,150,3390,6,50,190200,190000,0,25,0
2015,201501,8051,25,0,0,2,51,4,400,2,11,114,1,10,3030,8080,6,50,18020,0,18000,25,0
2015,201501,8051,25,0,0,1,16,4,400,2,5,50,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,8352,25,25,810,1,29,6,669,2,11,115,1,10,3060,8190,6,70,58000,58000,0,25,25
2015,201501,8352,25,25,810,2,28,6,669,2,11,115,1,10,3060,8190,6,70,58000,58000,0,25,25
2015,201501,8710,25,0,930,1,22,6,673,2,6,64,2,20,4720,4890,1,30,1200,1200,0,0,0
2015,201501,9173,25,25,810,2,25,6,610,2,11,114,3,30,1650,8190,0,0,0,0,0,0,0
2015,201501,10092,25,0,0,1,37,4,400,2,11,116,2,20,1720,3390,4,40,83000,83000,0,0,0
2015,201501,10092,25,0,0,2,37,4,400,2,11,116,1,10,1650,8190,6,40,72000,72000,0,25,25
2015,201501,10092,25,0,0,2,4,4,400,2,0,2,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,10092,25,0,0,1,2,4,400,2,0,1,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,10755,25,0,0,1,19,4,400,2,6,65,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,10778,25,25,810,2,67,6,620,2,6,63,1,10,4120,7870,6,40,27700,27700,0,25,25
2015,201501,11020,25,0,0,2,52,4,400,2,11,114,1,10,4840,7780,4,30,74000,74000,0,25,25
2015,201501,11494,25,0,0,1,47,5,500,2,11,114,1,10,4250,9080,2,32,5000,5000,0,25,0
2015,201501,12584,25,0,0,1,32,6,610,2,11,114,1,10,1530,2470,6,40,63000,63000,0,25,0
2015,201501,12584,25,0,0,2,32,6,643,2,11,114,1,10,1400,3390,6,40,79300,79000,0,33,0
2015,201501,13278,25,0,0,1,37,6,660,2,7,71,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,13376,25,0,0,1,44,6,610,2,11,114,1,10,430,2190,6,40,122000,122000,0,25,0
2015,201501,13376,25,0,0,2,42,6,610,2,11,114,1,10,4610,8370,6,20,20000,20000,0,25,0
2015,201501,13376,25,0,0,2,15,6,610,2,4,40,0,0,9920,0,0,0,0,999999,0,0,0
2015,201501,13376,25,0,0,1,9,6,610,2,1,15,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,17338,25,0,0,1,65,6,620,2,11,114,1,10,7630,7690,1,1,6000,0,6000,25,0
2015,201501,17338,25,0,0,2,61,6,620,2,10,101,1,10,3130,8090,6,45,115000,100000,0,25,0
2015,201501,18434,25,0,0,2,58,4,400,2,10,101,1,10,2840,3380,6,40,50000,50000,0,25,0
2015,201501,18970,25,25,810,2,60,4,400,2,6,63,3,30,9920,0,0,0,16800,0,0,0,0
2015,201501,19094,25,0,0,2,34,6,643,2,6,64,1,10,4720,5380,4,40,15400,15000,0,25,0
2015,201501,19094,25,0,0,2,2,6,643,2,0,1,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,19094,25,0,0,2,0,6,643,2,0,1,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,19094,25,0,0,1,39,6,643,2,6,64,1,10,5620,5380,4,40,17000,17000,0,25,0
2015,201501,19673,25,0,0,1,31,6,666,2,6,63,1,10,4230,8660,6,30,30500,30500,0,25,25
2015,201501,22763,25,0,0,1,70,4,400,2,11,114,3,30,1300,7290,0,0,271100,0,0,0,0
2015,201501,24362,25,0,0,1,42,6,620,2,11,116,1,10,730,7460,6,40,321000,320000,0,25,0
2015,201501,24690,25,0,0,2,20,4,400,2,7,71,3,30,4760,4770,1,38,3100,3100,0,0,0
2015,201501,24753,25,0,930,1,30,5,500,2,10,101,3,30,120,6870,0,0,254000,0,0,0,0
2015,201501,24753,25,0,930,2,32,5,500,2,10,101,3,30,5700,7270,0,0,4,0,0,0,0
2015,201501,24753,25,0,930,1,3,5,500,2,0,2,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,25160,25,0,0,1,61,4,400,2,11,116,1,10,3010,7980,5,40,122000,0,110000,25,0
2015,201501,25265,25,0,0,1,35,4,400,2,11,114,2,20,9920,9920,0,0,0,0,0,0,0
2015,201501,25265,25,0,0,2,31,4,400,2,11,114,1,10,1300,7290,6,40,92000,92000,0,25,0
2015,201501,25265,25,0,0,2,1,4,400,2,0,1,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,26193,25,0,0,1,53,6,610,2,11,114,1,10,800,5680,6,60,51000,50000,0,25,0
2015,201501,26193,25,0,0,2,50,6,610,2,11,114,1,10,900,9370,6,38,36000,35000,0,25,25
2015,201501,26990,25,0,0,1,24,4,400,2,10,101,3,30,2200,7870,6,40,30000,30000,0,0,0
2015,201501,26990,25,0,0,2,27,4,400,2,11,114,1,10,2430,6770,6,40,47000,47000,0,25,25
2015,201501,27988,25,0,0,1,47,4,400,2,11,116,2,20,1720,7870,0,0,100,0,0,0,0
2015,201501,27988,25,0,0,2,45,4,400,2,11,114,1,10,1650,2190,6,40,100000,100000,0,25,0
2015,201501,27988,25,0,0,2,11,4,400,2,2,23,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,27988,25,0,0,2,10,4,400,2,1,17,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,30572,25,0,0,1,46,6,610,2,10,101,1,10,4840,7380,5,50,301000,300000,0,25,0
2015,201501,30572,25,0,0,2,42,6,610,2,10,101,1,10,4600,8470,4,20,8000,8000,0,25,0
2015,201501,30572,25,0,0,1,15,6,610,2,4,40,0,0,9920,0,0,0,0,999999,0,0,0
2015,201501,31830,25,0,0,1,67,6,600,2,10,101,1,10,800,7870,6,38,60800,48800,0,25,0
2015,201501,31830,25,0,0,2,59,6,600,2,10,101,1,10,800,7870,1,30,4000,4000,0,25,0
2015,201501,35108,25,0,0,2,37,6,610,2,7,71,1,10,4350,9090,6,25,15000,0,15000,25,0
2015,201501,36090,25,0,0,1,63,4,400,2,11,114,1,10,2310,7860,3,1,2000,2000,0,25,0
2015,201501,36090,25,0,0,2,58,4,400,2,6,63,1,10,2540,7860,6,1,860,860,0,25,0
2015,201501,36482,25,0,0,2,31,4,400,2,11,116,1,10,2200,7870,6,50,60000,60000,0,25,0
2015,201501,37801,25,25,810,2,38,6,620,2,10,101,1,10,160,7670,6,50,74000,74000,0,25,25
2015,201501,37953,25,25,810,1,62,4,400,2,6,63,1,10,4000,8680,6,48,12500,12500,0,25,0
2015,201501,37953,25,25,810,2,55,4,400,2,6,63,1,10,5860,6990,6,40,23000,23000,0,25,0
2015,201501,37953,25,25,810,1,28,4,400,2,10,101,1,10,800,7280,6,40,51000,51000,0,25,0
2015,201501,37953,25,25,810,1,25,4,400,2,7,71,1,10,7810,4970,1,40,1000,1000,0,25,0
2015,201501,37953,25,25,810,1,23,4,400,2,10,101,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,38551,25,0,0,1,66,4,400,2,11,115,1,10,3060,7970,6,99,12500,12500,0,25,25
2015,201501,39558,25,25,810,2,18,6,620,2,6,63,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,40717,25,0,0,2,11,4,400,2,2,22,0,0,9920,0,0,0,9999999,999999,999999,0,0
2015,201501,41262,25,25,810,2,36,4,400,2,10,101,1,10,3130,8190,6,30,80000,80000,0,25,25
2015,201501,41942,25,0,0,1,55,4,400,2,0,2,1,10,8030,2880,6,40,46800,46800,0,25,0
2015,201501,41942,25,0,0,2,46,4,400,2,0,2,1,10,9620,4580,6,40,37000,37000,0,25,0
2015,201501,41942,25,0,0,2,17,4,400,2,6,61,3,30,9920,0,0,0,0,0,0,0,0
2015,201501,41942,25,0,0,2,8,4,400,2,1,16,0,0,9920,0,0,0,9999999,999999,999999,0,0
