YEAR,STATEFIP,CITY,SEX,AGE,RACED,EDUC,EMPSTAT,OCC2010,IND,UHRSWORK,INCTOT,INCWAGE
2015,25,0,1,30,Indian,11,1,4800,7470,40,77000,77000
2015,25,0,2,44,Chinese,11,1,1020,7460,40,130000,130000
2015,25,0,1,42,Chinese,11,1,2200,7870,60,125000,125000
2015,25,0,1,5,Chinese,1,0,9920,0,0,9999999,999999
2015,25,0,2,4,Chinese,0,0,9920,0,0,9999999,999999
2015,25,0,2,44,Chinese,7,3,9920,0,0,0,0
2015,25,810,1,20,Other,6,3,5820,5580,0,0,0
2015,25,0,1,20,Indian,6,3,9920,0,0,0,0
2015,25,0,1,70,Chinese,10,3,350,8190,0,0,0
2015,25,0,2,68,Chinese,10,3,800,7780,0,0,0
2015,25,3770,1,27,Other,2,2,6260,770,0,2000,0
2015,25,930,1,27,Chinese,10,1,1460,7460,40,83200,83000
2015,25,7570,1,28,Vietnamese,7,1,1550,7870,1,1300,1300
2015,25,7570,2,23,Vietnamese,7,3,5820,9590,0,0,0
2015,25,7570,2,22,Vietnamese,7,3,9920,0,0,0,0
2015,25,7570,2,21,Vietnamese,7,3,3650,4970,20,5000,5000
2015,25,7570,2,21,Vietnamese,6,1,4600,9290,60,15000,0
2015,25,7570,2,15,Vietnamese,3,0,9920,0,0,0,999999
2015,25,0,1,51,Chinese,11,1,150,3390,50,190200,190000
2015,25,0,2,51,Chinese,11,1,3030,8080,50,18020,0
2015,25,0,1,16,Chinese,5,3,9920,0,0,0,0
2015,25,810,1,29,Other,11,1,3060,8190,70,58000,58000
2015,25,810,2,28,Other,11,1,3060,8190,70,58000,58000
2015,25,930,1,22,Other,6,2,4720,4890,30,1200,1200
2015,25,810,2,25,Indian,11,3,1650,8190,0,0,0
2015,25,0,1,37,Chinese,11,2,1720,3390,40,83000,83000
2015,25,0,2,37,Chinese,11,1,1650,8190,40,72000,72000
2015,25,0,2,4,Chinese,0,0,9920,0,0,9999999,999999
2015,25,0,1,2,Chinese,0,0,9920,0,0,9999999,999999
2015,25,0,1,19,Chinese,6,3,9920,0,0,0,0
2015,25,810,2,67,Korean,6,1,4120,7870,40,27700,27700
2015,25,0,2,52,Chinese,11,1,4840,7780,30,74000,74000
2015,25,0,1,47,Japanese,11,1,4250,9080,32,5000,5000
2015,25,0,1,32,Indian,11,1,1530,2470,40,63000,63000
2015,25,0,2,32,Other,11,1,1400,3390,40,79300,79000
2015,25,0,1,37,Other,7,3,9920,0,0,0,0
2015,25,0,1,44,Indian,11,1,430,2190,40,122000,122000
2015,25,0,2,42,Indian,11,1,4610,8370,20,20000,20000
2015,25,0,2,15,Indian,4,0,9920,0,0,0,999999
2015,25,0,1,9,Indian,1,0,9920,0,0,9999999,999999
2015,25,0,1,65,Korean,11,1,7630,7690,1,6000,0
2015,25,0,2,61,Korean,10,1,3130,8090,45,115000,100000
2015,25,0,2,58,Chinese,10,1,2840,3380,40,50000,50000
2015,25,810,2,60,Chinese,6,3,9920,0,0,16800,0
2015,25,0,2,34,Other,6,1,4720,5380,40,15400,15000
2015,25,0,2,2,Other,0,0,9920,0,0,9999999,999999
2015,25,0,2,0,Other,0,0,9920,0,0,9999999,999999
2015,25,0,1,39,Other,6,1,5620,5380,40,17000,17000
2015,25,0,1,31,Indonesian,6,1,4230,8660,30,30500,30500
